Country ID,Country ISO-3 Code,Country
ctry1,AFG,Afghanistan
ctry2,ALB,Albania
ctry3,DZA,Algeria
ctry4,AGO,Angola
ctry5,ARG,Argentina
ctry6,ARM,Armenia
ctry7,AUS,Australia
ctry8,AZE,Azerbaijan
ctry9,BGD,Bangladesh
ctry10,BRB,Barbados
ctry11,BLR,Belarus
ctry12,BEL,Belgium
ctry13,BLZ,Belize
ctry14,BEN,Benin
ctry15,BTN,Bhutan
ctry16,BOL,Bolivia (Plurinational State of)
ctry17,BIH,Bosnia and Herzegovina
ctry18,BWA,Botswana
ctry19,BRA,Brazil
ctry20,BRN,Brunei Darussalam
ctry21,BGR,Bulgaria
ctry22,BFA,Burkina Faso
ctry23,BDI,Burundi
ctry24,CPV,Cabo Verde
ctry25,KHM,Cambodia
ctry26,CMR,Cameroon
ctry27,CAF,Central African Republic
ctry28,TCD,Chad
ctry29,CHL,Chile
ctry30,CHN,China
ctry31,COL,Colombia
ctry32,COM,Comoros
ctry33,COG,Congo
ctry34,CRI,Costa Rica
ctry35,CUB,Cuba
ctry36,CZE,Czechia
ctry37,CIV,Côte d'Ivoire
ctry38,PRK,Democratic People's Republic of Korea
ctry39,COD,Democratic Republic of the Congo
ctry40,DJI,Djibouti
ctry41,DOM,Dominican Republic
ctry42,ECU,Ecuador
ctry43,EGY,Egypt
ctry44,SLV,El Salvador
ctry45,GNQ,Equatorial Guinea
ctry46,ERI,Eritrea
ctry47,EST,Estonia
ctry48,SWZ,Eswatini
ctry49,ETH,Ethiopia
ctry50,FJI,Fiji
ctry51,GAB,Gabon
ctry52,GMB,Gambia
ctry53,GEO,Georgia
ctry54,DEU,Germany
ctry55,GHA,Ghana
ctry56,GRC,Greece
ctry57,GTM,Guatemala
ctry58,GIN,Guinea
ctry59,GNB,Guinea-Bissau
ctry60,GUY,Guyana
ctry61,HTI,Haiti
ctry62,HND,Honduras
ctry63,IND,India
ctry64,IDN,Indonesia
ctry65,IRQ,Iraq
ctry66,JAM,Jamaica
ctry67,JPN,Japan
ctry68,JOR,Jordan
ctry69,KAZ,Kazakhstan
ctry70,KEN,Kenya
ctry71,KIR,Kiribati
ctry72,KWT,Kuwait
ctry73,KGZ,Kyrgyzstan
ctry74,LAO,Lao People's Democratic Republic
ctry75,LVA,Latvia
ctry76,LBN,Lebanon
ctry77,LSO,Lesotho
ctry78,LBR,Liberia
ctry79,LBY,Libya
ctry80,LTU,Lithuania
ctry81,MDG,Madagascar
ctry82,MWI,Malawi
ctry83,MYS,Malaysia
ctry84,MDV,Maldives
ctry85,MLI,Mali
ctry86,MHL,Marshall Islands
ctry87,MRT,Mauritania
ctry88,MEX,Mexico
ctry89,MNG,Mongolia
ctry90,MNE,Montenegro
ctry91,MAR,Morocco
ctry92,MOZ,Mozambique
ctry93,MMR,Myanmar
ctry94,NAM,Namibia
ctry95,NRU,Nauru
ctry96,NPL,Nepal
ctry97,NLD,Netherlands (Kingdom of the)
ctry98,NIC,Nicaragua
ctry99,NER,Niger
ctry100,NGA,Nigeria
ctry101,MKD,North Macedonia
ctry102,OMN,Oman
ctry103,PAK,Pakistan
ctry104,PAN,Panama
ctry105,PNG,Papua New Guinea
ctry106,PRY,Paraguay
ctry107,PER,Peru
ctry108,PHL,Philippines
ctry109,POL,Poland
ctry110,PRT,Portugal
ctry111,KOR,Republic of Korea
ctry112,MDA,Republic of Moldova
ctry113,ROU,Romania
ctry114,RUS,Russian Federation
ctry115,RWA,Rwanda
ctry116,LCA,Saint Lucia
ctry117,WSM,Samoa
ctry118,STP,Sao Tome and Principe
ctry119,SAU,Saudi Arabia
ctry120,SEN,Senegal
ctry121,SRB,Serbia
ctry122,SYC,Seychelles
ctry123,SLE,Sierra Leone
ctry124,SGP,Singapore
ctry125,SLB,Solomon Islands
ctry126,SOM,Somalia
ctry127,ZAF,South Africa
ctry128,SSD,South Sudan
ctry129,LKA,Sri Lanka
ctry130,SDN,Sudan
ctry131,SUR,Suriname
ctry132,SYR,Syrian Arab Republic
ctry133,TJK,Tajikistan
ctry134,THA,Thailand
ctry135,GBR,The United Kingdom
ctry136,TLS,Timor-Leste
ctry137,TGO,Togo
ctry138,TON,Tonga
ctry139,TTO,Trinidad and Tobago
ctry140,TUN,Tunisia
ctry141,TKM,Turkmenistan
ctry142,TUV,Tuvalu
ctry143,TUR,Türkiye
ctry144,UGA,Uganda
ctry145,UKR,Ukraine
ctry146,TZA,United Republic of Tanzania
ctry147,URY,Uruguay
ctry148,UZB,Uzbekistan
ctry149,VUT,Vanuatu
ctry150,VNM,Viet Nam
ctry151,YEM,Yemen
ctry152,ZMB,Zambia
ctry153,ZWE,Zimbabwe
ctry154,PSE,occupied Palestinian territory
